PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,Contaminant,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,PFDA,0.003,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,HFPO-DA,0.005,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,PFBS,0.003,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,ADONA,0.003,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,9Cl-PF3ONS,0.002,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,11Cl-PF3OUdS,0.005,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,PFUnA,0.002,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,PFBA,0.005,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,PFDoA,0.003,µg/L,EPA 533,<,,SE1,AM,2,NJ,
NJ0119002,NJ AMERICAN WATER - ATLANTIC COUNTY,L,10025,Well 27 TP,GW,TP010025,Fire Rd,EP,,,2/27/2024,69251301,PFMPA,0.004,µg/L,EPA 533,<,,SE1,AM,2,NJ,
